tag,alternate_tag,Full Name,Description
NVC,,National Visa Center,Department of State facility that processes approved immigrant visa petitions after they leave USCIS.
NOIT,,Notice of Intent to Terminate,Issued in the context of regional centers (EB-5) or specific status revocations indicating the government plans to end a designation or status.
LCA,,Labor Condition Application,"Filed by employers with the Department of Labor before hiring foreign workers on H-1B, H-1B1, or E-3 visas."
PWD,,Prevailing Wage Determination,Minimum wage set by the DOL that an employer must pay a foreign worker to ensure local wages aren't undercut.
TAL,,Technology Alert List,List of sensitive technologies used by consular officers to determine additional security screening (Export Control).
PIMS,,Petition Information Management Service,Electronic database used by consular officers to verify USCIS approval of a non-immigrant visa petition.
NOID,,Notice of Intent to Deny,Officer states intent to deny unless the applicant provides a convincing rebuttal.
TN,,Trade National,Special non-immigrant status under NAFTA (now USMCA) for citizens of Canada and Mexico.
EAD,employment-authorization-EAD,Employment Authorization Document,Work permit card that proves a non-citizen is allowed to work in the U.S. for a specific period.
CPT,,Curricular Practical Training,Temporary authorization for F-1 students to gain practical experience directly related to their major.
ASC,,Application Support Center,USCIS-managed fingerprinting and biometrics offices.
VAC,,Visa Application Center,Third-party facilities (often overseas) where applicants submit biometrics and documents before a consular interview.
CBP,,Customs and Border Protection,Agency responsible for border enforcement and admitting travelers at ports of entry.
NPT,,Nunc Pro Tunc,Legal term for retroactive grant of a benefit; used to fix a gap in status caused by circumstances beyond the applicant's control.
OPT,,Optional Practical Training,Authorization for F-1 students to work in their field of study for up to 12 months (or longer for STEM) during/after degree.
DACA,,Deferred Action for Childhood Arrivals,Policy protecting individuals who came to the U.S. as children from deportation and providing work permits.
RFE,,Request for Evidence,Notice from USCIS indicating more documentation is needed to make a decision on a case.
TPS,,Temporary Protected Status,Temporary legal status granted to nationals of countries experiencing armed conflict or environmental disasters.
CSPA,,Child Status Protection Act,Law that freezes the age of a child during the green card process so they don't age out at 21.
NIW,,National Interest Waiver,Pathway to a Green Card (EB-2) waiving the job offer/labor certification requirement.
ESTA,,Electronic System for Travel Authorization,Online authorization required for Visa Waiver Program travelers to enter the U.S.
VWP,,Visa Waiver Program,Allows citizens of eligible countries to travel to the U.S. for tourism/business without a visa for up to 90 days.
AP,,Advance Parole,Travel document authorizing re-entry to the U.S. while an adjustment of status application is pending.
AVR,,Automatic Visa Revalidation,Allows non-immigrants to re-enter the U.S. from short trips to Canada/Mexico without a valid visa stamp.
COS,change-of-status-COS,Change of Status,Process to change from one non-immigrant status to another while in the U.S.
DOA,date-of-admission-DOA,Date of Admission,Date when a non-citizen was legally admitted to the U.S. at a port of entry.
DSO,,Designated School Official,School official authorized to manage F-1/M-1 student records in SEVIS.
PERM,,Program Electronic Review Management,Process for an employer to sponsor a foreign worker for a Labor Certification.
OFC,,Offsite Facilitation Center,Facility where visa applicants provide biometric data before their interview at a U.S. Embassy/Consulate.
POE,,Port of Entry,Officially designated location where a person may lawfully enter the U.S.
FBAR,,Foreign Bank and Financial Accounts Report,Disclosure form required by the U.S. Treasury for foreign bank accounts; not a tax return.
VO,,Visa Officer,Consular official who adjudicates visa applications.
CO,,Consular Officer,Foreign Service Officer at a U.S. Embassy/Consulate who adjudicates visas.
AOS,adjustment-of-status-AOS,Adjustment of Status,Process to apply for a Green Card from within the U.S. without leaving.
USRAP,,U.S. Refugee Admissions Program,Government program coordinating the admission of refugees into the U.S.
IOE,,USCIS Online Account Receipt,Online USCIS account receipt prefix.
WAC,,Western Adjudication Center,California Service Center receipt prefix.
EAC,,Eastern Adjudication Center,Vermont Service Center receipt prefix.
LIN,,Lincoln Nebraska,Nebraska Service Center receipt prefix.
SRC,,Southern Regional Center,Texas Service Center receipt prefix.
MSC,,Missouri Service Center,National Benefits Center receipt prefix.
SOC,,Standard Occupational Classification,DOL classification system identifying occupations for prevailing wage determinations.
ECFMG,,Educational Commission for Foreign Medical Graduates,Sponsors J-1 exchange visitor program for foreign medical graduates.
DOF,,Date For Filing,Chart in the Visa Bulletin indicating when applicants can assemble and submit final application documents.
FAD,,Final Action Date,Chart in the Visa Bulletin indicating when a visa number is actually available.
CSC,,California Service Center,USCIS service center in California.
NSC,,Nebraska Service Center,USCIS service center in Nebraska.
TSC,,Texas Service Center,USCIS service center in Texas.
VSC,,Vermont Service Center,USCIS service center in Vermont.
PSC,,Potomac Service Center,USCIS service center in the Washington D.C. area.
HART,,"Humanitarian, Adjustment, Removing Conditions, and Travel Documents",USCIS Service Center handling humanitarian and adjustment-related forms.
CEAC,,Consular Electronic Application Center,State Department system for processing immigrant and non-immigrant visa applications.
USCIS,,U.S. Citizenship and Immigration Services,Component of DHS that administers immigration benefits and services.
